DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2021-01-01,2,-2,11,-1,2,2,0.2,83,9.75,1014,47.125,2,1,-3,116,116,368,0.1,2,6.9,météo très défavorable,17:10:00,08:46:00,0
2021-01-02,3,-2,12,-1,2,2,0.1,87,8.375,1016,47.625,3,1,-4,116,116,116,0,1,8.7,météo très défavorable,17:11:00,08:46:00,0
2021-01-03,3,-1,10,2,2,2,0.1,98,6,1016,96.875,3,1,-2,326,248,119,0,1,3.3,météo très défavorable,17:12:00,08:45:00,2
2021-01-04,2,-5,17,1,1,0,0.7,97,7.5,1015,100,2,1,-4,338,332,332,0.2,1,3.3,météo très défavorable,17:13:00,08:45:00,1
2021-01-05,2,-1,15,1,1,1,1.2,97,6.375,1017,96.625,2,1,-3,338,338,371,0.4,1,3.3,météo très défavorable,17:14:00,08:45:00,0
2021-01-06,2,-1,15,0,2,1,0.3,96,9,1019,91.125,2,0,-4,332,326,371,0,1,3.3,météo très défavorable,17:15:00,08:45:00,-1
2021-01-07,3,-1,10,-1,2,1,0.8,94,7.25,1019,71.375,3,0,-4,119,119,371,0.4,1,3.3,météo très défavorable,17:17:00,08:45:00,-1
2021-01-08,3,-2,8,-1,2,0,0,93,9,1020,53.375,3,0,-4,116,119,116,0,2,6.9,météo très défavorable,17:18:00,08:44:00,-2
2021-01-09,3,-2,24,-2,2,1,0,96,10,1025,32.875,3,0,-6,116,119,116,0,2,6.9,météo très défavorable,17:19:00,08:44:00,-1
2021-01-10,3,-2,18,-2,2,0,0,94,10,1026,23.375,3,0,-7,116,116,116,0,2,8.7,météo très défavorable,17:20:00,08:43:00,-2
2021-01-11,4,-2,10,-1,3,3,0,89,10,1026,33.5,4,2,-4,116,116,116,0,2,8.7,météo très défavorable,17:22:00,08:43:00,-2
2021-01-12,8,2,30,5,7,7,13.7,93,6.75,1021,99.875,9,8,-1,266,296,302,0,2,3.3,météo très défavorable,17:23:00,08:42:00,4
2021-01-13,10,5,27,7,10,8,8.6,97,8.25,1023,95.625,10,8,6,266,296,122,0,2,3.3,météo défavorable,17:24:00,08:42:00,7
2021-01-14,9,7,21,8,7,9,1.7,91,7.875,1022,92.5,9,7,4,266,122,176,0,3,3.3,météo défavorable,17:26:00,08:41:00,8
2021-01-15,7,-1,24,4,2,1,1.8,92,8.5,1030,64,7,6,-3,266,122,116,0,1,5.1,météo très défavorable,17:27:00,08:40:00,5
2021-01-16,1,-6,23,-2,0,-2,8.7,95,8.625,1030,79.75,1,4,-5,116,326,302,0,2,3.3,météo très défavorable,17:29:00,08:40:00,-2
2021-01-17,5,0,13,3,4,4,0.2,94,9,1027,69.125,5,4,-1,176,143,119,0,2,8.7,météo très défavorable,17:30:00,08:39:00,4
2021-01-18,5,0,15,1,4,3,0,93,10,1029,53.5,5,2,-2,116,116,119,0,1,8.7,météo très défavorable,17:32:00,08:38:00,2
2021-01-19,7,1,30,3,6,6,0,90,10,1022,78.25,7,4,-2,116,122,119,0,2,3.4,météo très défavorable,17:33:00,08:37:00,3
2021-01-20,8,3,32,6,7,8,0.3,77,9,1009,74.5,8,5,1,116,119,266,0,3,5.1,météo très défavorable,17:35:00,08:36:00,5
2021-01-21,8,2,33,5,7,6,14.7,84,9.25,998,82.125,9,6,1,299,116,296,0,2,5.2,météo très défavorable,17:36:00,08:35:00,8
2021-01-22,4,3,21,3,4,3,10.6,96,8.625,996,92.375,4,4,-1,176,176,317,0,1,3.4,météo très défavorable,17:38:00,08:34:00,4
2021-01-23,4,0,19,1,4,2,1,94,7.375,1000,63.5,4,2,-3,116,122,338,0.5,2,3.4,météo très défavorable,17:39:00,08:33:00,2
2021-01-24,3,-4,29,-1,3,1,4.3,89,9,1004,40.75,3,2,-4,116,116,338,2,2,6.9,météo très défavorable,17:41:00,08:32:00,0
2021-01-25,4,-3,24,0,3,2,0.2,93,10,1016,62,4,0,-5,122,326,116,0.2,1,5.2,météo très défavorable,17:42:00,08:31:00,1
2021-01-26,3,-1,14,-1,2,2,0.5,87,9.375,1023,39.875,3,0,-5,116,116,116,0,2,8.7,météo très défavorable,17:44:00,08:30:00,-1
2021-01-27,8,2,17,3,7,7,1.9,95,8.25,1020,99.875,8,8,-2,176,122,122,0,2,3.4,météo très défavorable,17:45:00,08:29:00,2
2021-01-28,13,9,29,11,12,12,5,93,9.625,1015,97.25,13,10,8,176,296,353,0,3,3.4,météo défavorable,17:47:00,08:28:00,10
2021-01-29,11,6,37,9,10,8,3.6,87,9.75,1008,83.375,11,10,5,296,176,353,0,2,3.5,météo défavorable,17:48:00,08:26:00,11
2021-01-30,11,6,27,10,11,8,3.8,95,9.625,1006,86.375,11,9,7,302,353,176,0,2,3.5,météo défavorable,17:50:00,08:25:00,8
2021-01-31,8,4,15,6,6,7,4.4,95,8.625,1002,100,8,8,2,296,122,122,0,2,3.5,météo très défavorable,17:52:00,08:24:00,8
2021-02-01,11,7,23,9,11,10,3.7,90,7.625,1004,95.875,11,9,6,296,122,353,0,2,3.5,météo défavorable,17:53:00,08:23:00,9
2021-02-02,13,7,31,10,13,12,4.4,94,7.875,1006,94.5,13,10,7,296,266,353,0,3,3.5,météo défavorable,17:55:00,08:21:00,8
2021-02-03,11,5,41,11,9,9,4.1,90,9.625,1009,92.875,11,10,4,296,296,176,0,2,3.5,météo défavorable,17:56:00,08:20:00,11
2021-02-04,10,5,13,6,9,9,0,95,6.375,1012,83.75,10,8,3,122,122,116,0,2,3.5,météo défavorable,17:58:00,08:18:00,5
2021-02-05,10,6,12,6,9,9,0.1,97,6,1013,82.375,10,7,4,143,143,116,0,2,6.6,météo défavorable,18:00:00,08:17:00,6
2021-02-06,8,6,18,7,8,8,7.2,94,6.625,1009,100,8,8,4,296,266,296,0,2,4.9,météo très défavorable,18:01:00,08:15:00,7
2021-02-07,6,0,22,3,4,2,2.9,94,8.25,1000,87.375,6,5,-2,119,122,338,0.3,1,4.9,météo très défavorable,18:03:00,08:14:00,4
2021-02-08,1,-2,10,-2,1,1,0.1,93,10,1000,86.75,1,0,-3,116,326,122,0,1,5,météo très défavorable,18:04:00,08:12:00,-2
2021-02-09,0,-3,18,-3,-1,0,1.3,88,9.375,1004,89.5,0,0,-7,119,119,122,0,1,5,météo très défavorable,18:06:00,08:11:00,-2
2021-02-10,-2,-6,25,-5,-4,-4,9.3,94,6.625,1020,56.125,0,0,-13,338,326,113,7.9,1,9.9,météo très défavorable,18:08:00,08:09:00,-3
2021-02-11,-2,-7,23,-7,-4,-3,0,91,10,1025,11.25,0,0,-13,116,116,116,0,2,10,météo très défavorable,18:09:00,08:08:00,-7
2021-02-12,-1,-5,30,-4,-1,-3,0,72,10,1027,47,0,0,-12,119,326,116,0,2,10,météo très défavorable,18:11:00,08:06:00,-5
2021-02-13,-2,-6,26,-6,-4,-3,0,67,10,1034,28.5,0,0,-13,116,116,119,0,2,10,météo très défavorable,18:12:00,08:04:00,-6
2021-02-14,0,-6,18,-6,-3,0,0,77,10,1034,36.75,0,0,-13,116,116,119,0,2,8.3,météo très défavorable,18:14:00,08:03:00,-5
2021-02-15,4,-4,24,1,4,2,0,90,10,1028,69.25,4,3,-5,119,122,116,0,2,6.7,météo très défavorable,18:16:00,08:01:00,1
2021-02-16,8,1,23,3,7,7,0.3,92,9,1024,69.125,8,7,-2,116,122,266,0,2,5.3,météo très défavorable,18:17:00,07:59:00,3
2021-02-17,10,6,26,7,9,9,0.3,94,10,1020,85.375,10,7,4,122,176,176,0,2,5.3,météo défavorable,18:19:00,07:58:00,7
2021-02-18,10,5,29,7,10,7,10.2,89,9.125,1014,70.5,10,8,4,116,122,302,0,3,5.3,météo défavorable,18:20:00,07:56:00,7
2021-02-19,11,2,26,2,9,11,0.1,94,9,1016,64.625,11,8,-1,116,119,176,0,3,5.3,météo très défavorable,18:22:00,07:54:00,3
2021-02-20,16,8,32,8,14,14,0,85,10,1013,14.125,16,8,5,116,116,116,0,3,10.7,météo correcte,18:24:00,07:52:00,9
2021-02-21,14,7,19,7,13,12,0,77,10,1012,27.375,14,6,4,116,116,116,0,4,10.7,météo correcte,18:25:00,07:51:00,9
2021-02-22,14,7,23,7,13,12,0,69,10,1020,43.875,14,8,5,116,116,122,0,4,10,météo correcte,18:27:00,07:49:00,8
2021-02-23,14,10,27,10,12,11,0,84,10,1030,39.5,14,8,7,119,116,116,0,3,10.1,météo correcte,18:28:00,07:47:00,10
2021-02-24,16,9,20,9,14,14,0,95,10,1031,18.875,16,10,6,116,116,116,0,4,10.9,météo correcte,18:30:00,07:45:00,10
2021-02-25,14,8,16,8,12,12,0,86,10,1030,42.125,14,9,6,116,116,122,0,4,8.5,météo correcte,18:32:00,07:43:00,9
2021-02-26,9,6,22,7,8,7,4.2,90,9.75,1036,89.375,9,8,4,296,176,176,0,2,5.5,météo défavorable,18:33:00,07:41:00,8
2021-02-27,10,2,23,2,8,8,0,86,10,1038,3,10,2,-2,113,116,116,0,3,11,météo très défavorable,18:35:00,07:39:00,3
2021-02-28,10,3,23,3,8,8,0,87,10,1036,0,10,2,-1,113,113,113,0,3,11,météo très défavorable,18:36:00,07:38:00,4
2021-03-01,11,2,13,2,9,8,0,93,10,1030,1.75,11,3,-1,116,113,113,0,3,11,météo très défavorable,18:38:00,07:36:00,3
2021-03-02,14,4,11,4,12,12,0,92,10,1028,9.5,14,6,3,116,116,116,0,3,11.1,météo correcte,18:40:00,07:34:00,5
2021-03-03,15,7,11,7,13,13,1.7,84,9.75,1029,40.5,15,8,6,116,116,116,0,4,10.1,météo correcte,18:41:00,07:32:00,8
2021-03-04,11,6,11,7,10,9,1.1,91,8.875,1025,68.75,11,7,5,116,122,176,0,2,5.6,météo défavorable,18:43:00,07:30:00,9
2021-03-05,6,2,24,2,4,4,0.1,89,10,1030,46.75,6,3,-3,122,122,113,0,1,10.1,météo très défavorable,18:44:00,07:28:00,3
2021-03-06,7,-1,22,-1,5,4,0,74,10,1030,0.125,7,0,-6,113,113,113,0,2,11.2,météo très défavorable,18:46:00,07:26:00,0
2021-03-07,8,-1,14,-1,6,7,0,79,10,1028,0,9,0,-5,113,113,113,0,2,11.2,météo très défavorable,18:47:00,07:24:00,-1
2021-03-08,8,-2,13,-2,6,5,0,90,10,1024,6.5,8,0,-6,113,116,116,0,2,11.3,météo très défavorable,18:49:00,07:22:00,-1
2021-03-09,9,-1,10,-1,7,7,0,93,10,1023,13.625,9,0,-5,116,116,116,0,2,11.3,météo très défavorable,18:50:00,07:20:00,-1
2021-03-10,9,2,26,2,7,8,0.7,90,9.875,1022,59.875,9,4,-1,116,122,116,0,3,7.2,météo très défavorable,18:52:00,07:18:00,2
2021-03-11,11,6,37,11,11,9,10.7,90,7.25,1014,89.75,11,9,7,266,302,176,0,3,5.7,météo défavorable,18:53:00,07:16:00,10
2021-03-12,10,3,33,3,9,8,1.3,90,10,1015,59.875,10,4,-2,116,116,353,0,2,7.2,météo très défavorable,18:55:00,07:13:00,4
2021-03-13,9,3,44,8,9,4,12.5,82,9.125,1010,92.5,9,5,3,353,293,353,0,2,5.7,météo défavorable,18:57:00,07:11:00,7
2021-03-14,9,2,28,2,8,7,1.7,88,9.875,1021,58.375,9,3,-3,116,122,353,0,2,7.2,météo très défavorable,18:58:00,07:09:00,2
2021-03-15,10,5,28,7,8,8,8,91,9.125,1023,92.625,10,6,3,296,296,353,0,2,6,météo défavorable,19:00:00,07:07:00,6
2021-03-16,10,3,13,3,10,7,0.2,94,7.375,1030,83,10,5,1,143,116,176,0,2,6,météo très défavorable,19:01:00,07:05:00,4
2021-03-17,7,4,28,4,6,7,1.1,86,9.875,1030,73,7,7,-1,116,122,353,0,2,6,météo très défavorable,19:03:00,07:03:00,5
2021-03-18,7,2,22,2,6,7,1.2,96,9.375,1030,95.375,7,4,-2,122,176,353,0,2,6,météo très défavorable,19:04:00,07:01:00,2
2021-03-19,7,2,31,2,6,5,0.7,93,9.75,1027,50.375,7,2,-2,317,122,116,0,2,10.3,météo très défavorable,19:06:00,06:59:00,4
2021-03-20,9,0,22,0,7,7,0,89,10,1030,19.25,9,2,-5,116,116,116,0,2,11.6,météo très défavorable,19:07:00,06:57:00,0
2021-03-21,9,2,15,3,8,8,0.8,95,6.625,1029,67.375,9,6,1,248,122,353,0,3,6.3,météo très défavorable,19:09:00,06:55:00,2
2021-03-22,10,0,16,0,8,8,0,97,9,1027,22.25,10,3,-4,143,116,116,0,3,11.6,météo très défavorable,19:10:00,06:53:00,1
2021-03-23,12,2,5,2,10,10,0,90,10,1027,16.5,12,4,2,116,116,116,0,3,11.6,météo très défavorable,19:12:00,06:50:00,2
2021-03-24,14,3,16,3,12,12,0,91,10,1025,35.75,14,7,1,116,116,122,0,3,10.3,météo correcte,19:13:00,06:48:00,4
2021-03-25,13,5,15,5,11,11,1.1,95,7.875,1021,77.375,13,7,3,143,116,176,0,3,7.7,météo très défavorable,19:15:00,06:46:00,6
2021-03-26,10,3,33,5,10,5,3.7,92,9.75,1022,70.25,10,6,1,116,122,293,0,2,6.4,météo très défavorable,19:16:00,06:44:00,6
2021-03-27,11,2,13,2,10,9,0,90,10,1029,18.75,11,3,-2,116,116,116,0,2,11.6,météo très défavorable,19:18:00,06:42:00,3
2021-03-28,17,5,22,7,15,15,0,83,10,1025,29.25,17,11,4,116,116,116,0,4,11.6,météo correcte,19:19:00,06:40:00,5
2021-03-29,18,5,11,5,16,16,0,86,10,1031,8.875,18,6,3,116,116,116,0,4,11.6,météo favorable,19:21:00,06:38:00,6
2021-03-30,20,8,11,8,18,18,0,83,10,1031,0.375,20,8,7,113,113,113,0,5,11.6,météo favorable,19:22:00,06:36:00,9
2021-03-31,21,10,10,10,19,18,0,84,10,1026,5,23,10,9,116,116,116,0,5,11.6,météo favorable,19:24:00,06:34:00,11
2021-04-01,22,11,14,11,20,20,0,82,10,1021,4.5,24,11,11,116,116,116,0,5,11.6,météo favorable,19:25:00,06:32:00,12
2021-04-02,13,6,26,6,11,11,0,79,10,1025,1,13,8,2,116,113,113,0,3,11.6,météo correcte,19:27:00,06:30:00,9
2021-04-03,12,3,26,3,9,10,0,84,10,1027,29.375,12,2,-2,116,122,113,0,3,10.3,météo très défavorable,19:28:00,06:28:00,3
2021-04-04,13,1,17,1,10,11,0,95,9,1027,3.125,13,3,-3,116,113,113,0,3,11.6,météo très défavorable,19:29:00,06:25:00,2
2021-04-05,8,0,28,3,8,3,0.5,81,8.75,1020,57.625,8,5,-1,122,122,176,0,3,6.5,météo très défavorable,19:31:00,06:23:00,2
2021-04-06,5,-2,29,-2,4,3,1.6,72,9.625,1023,51.875,5,0,-6,116,371,362,0.7,2,7.8,météo très défavorable,19:32:00,06:21:00,-2
2021-04-07,6,-6,10,-6,4,4,3.1,96,7.875,1029,49.125,6,0,-10,179,113,119,2.6,1,11.6,météo très défavorable,19:34:00,06:19:00,-4
2021-04-08,12,-1,15,-1,9,10,0,75,10,1028,9,12,1,-2,116,116,116,0,3,11.6,météo très défavorable,19:35:00,06:17:00,-1
2021-04-09,14,3,15,3,12,12,1.5,75,9.875,1020,61.25,14,9,2,122,116,122,0,3,9.1,météo correcte,19:37:00,06:15:00,3
2021-04-10,10,6,16,9,9,8,27.7,97,7.125,1012,100,10,9,7,302,302,296,0,2,6.6,météo très défavorable,19:38:00,06:13:00,9
2021-04-11,9,3,23,6,3,4,3,97,7.25,1020,95.5,9,8,-2,248,296,176,0,1,6.6,météo très défavorable,19:40:00,06:11:00,9
2021-04-12,8,-1,14,-1,7,6,1.6,92,10,1032,51.5,8,0,-4,116,122,353,0,1,6.7,météo très défavorable,19:41:00,06:09:00,-1
2021-04-13,10,1,14,1,8,7,0,97,6.75,1033,37.375,10,1,-3,248,116,116,0,3,11.6,météo très défavorable,19:43:00,06:08:00,1
2021-04-14,10,1,20,1,9,8,0,67,10,1032,16.625,10,0,-3,113,116,116,0,3,11.6,météo très défavorable,19:44:00,06:06:00,1
2021-04-15,9,-1,20,-1,8,7,0,92,10,1030,28,9,0,-6,116,116,116,0,3,10.4,météo très défavorable,19:46:00,06:04:00,-1
2021-04-16,8,0,24,0,8,8,0.5,91,10,1028,62.375,8,1,-4,116,116,176,0,2,7.9,météo très défavorable,19:47:00,06:02:00,0
2021-04-17,12,1,22,1,10,10,0,94,10,1027,28.75,12,3,-3,116,116,116,0,3,13.5,météo très défavorable,19:48:00,06:00:00,1
2021-04-18,11,2,12,2,11,9,0.2,93,9,1025,50.25,11,5,-2,143,116,176,0,3,11,météo très défavorable,19:50:00,05:58:00,2
2021-04-19,12,6,9,6,10,11,0.2,82,10,1022,79.75,12,5,5,122,122,116,0,2,8.7,météo défavorable,19:51:00,05:56:00,6
2021-04-20,14,8,11,8,12,12,1.4,76,9.625,1018,74.25,14,6,7,119,176,353,0,3,8.7,météo défavorable,19:53:00,05:54:00,8
2021-04-21,15,6,20,6,14,14,0.3,91,9.875,1019,49.25,15,7,4,116,119,116,0,4,12.2,météo correcte,19:54:00,05:52:00,7
2021-04-22,13,4,23,4,12,11,0,80,10,1024,6.5,13,4,0,116,116,116,0,3,14.1,météo correcte,19:56:00,05:51:00,5
2021-04-23,15,4,24,4,13,13,0,82,10,1027,0.125,15,5,1,113,113,113,0,4,14.1,météo correcte,19:57:00,05:49:00,4
2021-04-24,17,5,21,5,15,15,0,77,10,1024,21.75,17,8,2,113,116,116,0,4,13.4,météo correcte,19:59:00,05:47:00,5
2021-04-25,16,6,26,6,14,14,0,77,10,1023,16.75,16,6,3,116,116,116,0,4,14.5,météo correcte,20:00:00,05:45:00,6
2021-04-26,16,5,29,5,14,14,0,70,10,1020,4.5,16,5,1,116,116,113,0,4,14.5,météo correcte,20:01:00,05:43:00,6
2021-04-27,15,4,17,4,14,13,0,79,10,1011,6.5,15,5,1,113,116,113,0,4,14.5,météo correcte,20:03:00,05:42:00,4
2021-04-28,16,3,8,4,14,13,0.1,84,10,1007,32.875,16,6,2,116,116,116,0,4,14.5,météo correcte,20:04:00,05:40:00,3
2021-04-29,11,3,17,3,11,10,0,95,8,1013,60.875,11,4,1,143,122,122,0,3,10.2,météo très défavorable,20:06:00,05:38:00,3
2021-04-30,12,6,10,7,11,11,0.1,70,10,1014,70.25,12,4,5,116,119,176,0,2,11.3,météo défavorable,20:07:00,05:37:00,6
2021-05-01,13,5,14,5,12,11,0.2,79,10,1014,48.375,13,5,3,116,116,116,0,3,13.4,météo correcte,20:08:00,05:35:00,5
2021-05-02,13,2,13,4,11,11,0.9,90,9,1022,38.375,13,5,1,143,116,353,0,3,12.4,météo correcte,20:10:00,05:33:00,2
2021-05-03,14,3,20,4,13,13,0.4,87,9.875,1023,51.875,14,6,3,116,116,116,0,3,12.4,météo correcte,20:11:00,05:32:00,3
2021-05-04,12,7,38,8,9,10,8.9,89,7.375,1012,96.25,12,8,3,266,296,353,0,2,9.3,météo défavorable,20:13:00,05:30:00,7
2021-05-05,12,4,24,4,11,10,1.4,91,9.875,1016,55,12,5,0,113,176,176,0,2,11.4,météo très défavorable,20:14:00,05:28:00,4
