DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2022-01-01,14,10,24,10,13,12,0,95,10,1023,26.125,14,10,8,113,113,116,0,4,8.1,météo correcte,16:56:00,08:49:00,11
2022-01-02,13,9,33,11,13,11,0.4,92,10,1021,71.75,13,10,8,122,353,116,0,3,4.9,météo défavorable,16:57:00,08:49:00,10
2022-01-03,11,9,29,9,11,9,0.9,86,9,1017,100,11,8,6,122,122,353,0,2,3,météo défavorable,16:58:00,08:48:00,10
2022-01-04,8,2,30,8,2,2,14.2,97,5.5,1012,100,8,8,-4,296,320,338,2,1,3.2,météo très défavorable,17:00:00,08:48:00,8
2022-01-05,5,1,27,1,3,4,0.1,94,9.625,1021,64.875,5,2,-5,113,326,122,0.1,1,5,météo très défavorable,17:01:00,08:48:00,1
2022-01-06,6,0,16,0,5,4,0,86,10,1024,34.125,6,0,-3,113,113,122,0,2,8.5,météo très défavorable,17:02:00,08:48:00,1
2022-01-07,7,1,24,3,7,2,2.3,91,8.75,1020,74.875,7,3,0,176,176,182,0,1,5,météo très défavorable,17:03:00,08:47:00,3
2022-01-08,9,1,36,2,6,9,3.3,95,8.75,1016,86,9,7,-2,122,266,296,0,3,3.2,météo très défavorable,17:05:00,08:47:00,1
2022-01-09,7,3,27,3,6,3,0.4,83,10,1015,39.5,7,3,-2,116,116,116,0,1,8.6,météo très défavorable,17:06:00,08:46:00,4
2022-01-10,7,3,9,4,6,5,0,92,9,1026,62.75,7,4,2,122,119,113,0,2,5.1,météo très défavorable,17:07:00,08:46:00,4
2022-01-11,5,0,12,0,4,2,0,88,10,1037,37.5,5,0,-3,113,116,116,0,2,8.6,météo très défavorable,17:09:00,08:45:00,0
2022-01-12,6,3,11,4,5,4,0,92,10,1041,68.875,6,4,3,122,119,113,0,1,3.2,météo très défavorable,17:10:00,08:45:00,4
2022-01-13,7,1,10,1,5,4,0,88,10,1042,1.625,7,1,-2,113,113,113,0,2,8.7,météo très défavorable,17:11:00,08:44:00,1
2022-01-14,10,2,5,2,8,7,0,85,10,1039,0.25,10,5,1,113,113,113,0,3,8.7,météo très défavorable,17:13:00,08:43:00,3
2022-01-15,7,2,10,2,6,5,0,86,10,1033,5,7,2,0,113,113,113,0,2,8.7,météo très défavorable,17:14:00,08:43:00,2
2022-01-16,7,1,15,4,6,6,0.3,90,9,1031,72.75,7,6,2,122,122,143,0,3,3.3,météo très défavorable,17:16:00,08:42:00,1
2022-01-17,9,3,12,4,9,6,0,91,9,1039,7.25,9,5,0,113,113,113,0,2,8.7,météo très défavorable,17:17:00,08:41:00,4
2022-01-18,8,2,11,2,6,4,0,95,9,1039,14.875,8,4,0,113,116,113,0,2,8.7,météo très défavorable,17:19:00,08:40:00,3
2022-01-19,6,0,14,1,5,6,0.2,91,9,1034,44.75,6,4,-2,113,116,122,0,2,6.9,météo très défavorable,17:21:00,08:39:00,1
2022-01-20,4,2,23,4,4,3,1,93,8.25,1035,83.625,4,2,-2,122,368,371,0.9,2,3.3,météo très défavorable,17:22:00,08:38:00,3
2022-01-21,6,1,21,1,5,3,0.1,93,9.625,1037,70.125,6,2,-3,368,116,116,0.1,1,8.7,météo très défavorable,17:24:00,08:37:00,1
2022-01-22,8,1,16,1,6,4,0,94,9,1037,33.75,8,4,-2,113,113,113,0,2,8.7,météo très défavorable,17:25:00,08:36:00,2
2022-01-23,7,3,7,4,6,4,0,83,10,1036,62.75,7,2,3,119,119,116,0,1,3.3,météo très défavorable,17:27:00,08:35:00,5
2022-01-24,8,1,9,1,6,4,0,90,10,1036,0.25,8,2,-1,113,113,113,0,2,8.7,météo très défavorable,17:29:00,08:34:00,1
2022-01-25,8,1,9,1,6,5,0,90,10,1038,0.625,8,2,-2,113,113,113,0,2,8.7,météo très défavorable,17:30:00,08:33:00,1
2022-01-26,7,1,10,1,6,4,0,91,10,1034,6.875,7,3,-2,113,113,113,0,2,8.7,météo très défavorable,17:32:00,08:31:00,1
2022-01-27,8,1,26,3,8,8,0.2,95,10,1032,54,8,7,-2,116,122,176,0,3,5.2,météo très défavorable,17:34:00,08:30:00,2
2022-01-28,8,3,10,3,7,6,0,96,8,1037,46.25,8,4,0,143,113,122,0,3,5.2,météo très défavorable,17:36:00,08:29:00,4
2022-01-29,10,5,27,7,10,10,0,95,10,1033,82.5,10,9,3,119,122,122,0,2,3.4,météo défavorable,17:37:00,08:27:00,5
2022-01-30,7,2,9,3,6,5,0,90,10,1035,17.75,7,2,0,116,116,113,0,2,8.7,météo très défavorable,17:39:00,08:26:00,4
2022-01-31,7,3,38,5,7,5,0.3,73,10,1025,62.75,7,4,-1,176,119,116,0,2,6.9,météo très défavorable,17:41:00,08:25:00,5
2022-02-01,11,2,31,3,8,11,0,95,10,1027,63.625,11,9,-1,122,122,116,0,3,3.4,météo très défavorable,17:42:00,08:23:00,2
2022-02-02,12,8,24,9,11,10,0,91,10,1025,82.375,12,8,5,116,122,122,0,2,3.5,météo défavorable,17:44:00,08:22:00,10
2022-02-03,9,7,21,7,9,9,0,87,10,1024,84.5,9,6,4,122,122,119,0,2,3.5,météo défavorable,17:46:00,08:20:00,7
2022-02-04,8,3,27,7,8,8,0.1,87,10,1023,68,8,6,3,119,176,113,0,2,3.5,météo très défavorable,17:48:00,08:19:00,7
2022-02-05,9,2,24,2,7,7,0,92,10,1027,39.75,9,4,-2,113,113,122,0,3,8.7,météo très défavorable,17:49:00,08:17:00,3
2022-02-06,11,7,49,8,10,9,2.9,87,9.625,1019,93.125,11,8,4,176,296,353,0,2,3.5,météo défavorable,17:51:00,08:16:00,8
2022-02-07,10,1,21,2,7,6,0.1,86,10,1032,13.75,10,3,-3,113,113,113,0,2,8.7,météo très défavorable,17:53:00,08:14:00,3
2022-02-08,11,3,20,6,9,10,0,95,10,1032,79.75,11,8,2,119,119,119,0,3,3.5,météo défavorable,17:54:00,08:12:00,4
2022-02-09,10,7,16,8,10,9,0,87,10,1029,89.625,10,6,4,122,122,122,0,2,3.5,météo défavorable,17:56:00,08:11:00,9
2022-02-10,9,4,22,7,9,4,1.3,94,8.875,1025,87.875,9,6,1,119,119,317,0,2,3.6,météo très défavorable,17:58:00,08:09:00,8
2022-02-11,7,2,18,2,7,5,0,85,10,1036,28.25,7,0,-3,116,116,116,0,2,9.9,météo très défavorable,18:00:00,08:07:00,2
2022-02-12,7,0,22,0,5,5,0,82,10,1035,44.75,7,0,-4,116,113,113,0,1,10,météo très défavorable,18:01:00,08:06:00,1
2022-02-13,9,0,38,0,5,9,1.9,74,8.875,1020,64,9,6,-5,116,122,266,0,2,6.6,météo très défavorable,18:03:00,08:04:00,1
2022-02-14,10,5,32,8,9,8,1.2,84,7,1012,77.625,10,7,4,266,119,113,0,2,6.7,météo défavorable,18:05:00,08:02:00,9
2022-02-15,9,3,28,5,8,8,1.1,88,9.875,1017,71.25,9,6,0,116,116,176,0,2,8.3,météo très défavorable,18:06:00,08:00:00,4
2022-02-16,13,9,31,10,12,13,1.6,96,7.875,1007,100,13,11,6,266,176,122,0,3,5.3,météo défavorable,18:08:00,07:58:00,9
2022-02-17,13,7,43,8,10,9,0.2,79,10,1020,56.625,13,10,1,113,113,176,0,2,8.4,météo correcte,18:10:00,07:57:00,10
2022-02-18,13,6,50,9,13,9,0.7,93,9.875,1015,87.125,13,8,5,122,122,176,0,4,5.3,météo défavorable,18:12:00,07:55:00,7
2022-02-19,8,3,30,4,6,5,1.8,72,8.875,1018,57.875,8,4,-1,113,119,266,0,3,6.9,météo très défavorable,18:13:00,07:53:00,4
2022-02-20,11,6,38,8,10,11,1.2,92,9.875,1015,92.25,11,8,4,122,176,122,0,2,5.3,météo défavorable,18:15:00,07:51:00,6
2022-02-21,8,4,48,4,7,8,0.6,72,10,1017,72.375,8,4,-2,113,122,122,0,2,5.3,météo très défavorable,18:17:00,07:49:00,4
2022-02-22,11,4,27,4,9,11,0.1,93,10,1022,81.125,11,8,1,116,122,119,0,2,5.4,météo très défavorable,18:18:00,07:47:00,6
2022-02-23,11,4,17,4,10,8,0,94,9,1030,44.125,11,4,1,143,113,122,0,3,8.5,météo très défavorable,18:20:00,07:45:00,4
2022-02-24,8,3,37,6,8,7,0.1,78,10,1021,52.875,8,5,2,116,122,113,0,2,6.9,météo très défavorable,18:22:00,07:43:00,6
2022-02-25,8,2,28,3,7,7,0,80,10,1033,43.25,8,2,-2,116,119,113,0,3,8.5,météo très défavorable,18:24:00,07:41:00,3
2022-02-26,11,1,17,1,10,9,0,81,10,1035,0.5,11,2,-2,113,113,113,0,3,10.9,météo très défavorable,18:25:00,07:39:00,2
2022-02-27,12,0,25,0,9,9,0,76,10,1029,2,12,1,-5,113,113,113,0,3,10.9,météo très défavorable,18:27:00,07:37:00,1
2022-02-28,11,0,18,0,8,8,0,78,10,1028,23.625,11,1,-5,113,119,116,0,3,10.1,météo très défavorable,18:29:00,07:35:00,1
2022-03-01,9,2,14,2,7,7,0,82,10,1027,58.375,9,2,-1,116,122,116,0,3,7,météo très défavorable,19:31:00,08:33:00,2
2022-03-02,8,5,13,5,8,8,0.3,71,9,1025,99.375,8,6,2,122,122,176,0,2,5.5,météo très défavorable,19:32:00,08:30:00,5
2022-03-03,13,4,14,4,11,10,0,80,10,1019,25.75,13,3,1,116,113,113,0,3,11.1,météo correcte,19:34:00,08:28:00,4
2022-03-04,13,2,14,2,11,9,0,65,10,1019,0.5,13,3,-1,113,113,113,0,3,11.1,météo correcte,19:36:00,08:26:00,4
2022-03-05,12,1,13,1,8,10,0,65,10,1022,0,12,0,0,113,113,113,0,3,11.1,météo très défavorable,19:37:00,08:24:00,3
2022-03-06,8,1,24,1,7,7,0,71,10,1025,22,8,0,-3,113,113,116,0,2,10.1,météo très défavorable,19:39:00,08:22:00,2
2022-03-07,11,1,20,1,9,9,0,73,10,1025,12.125,11,0,-3,113,113,113,0,3,11.2,météo très défavorable,19:41:00,08:20:00,3
2022-03-08,12,0,25,0,10,10,0,64,10,1021,0.5,12,0,-5,113,113,113,0,3,11.2,météo très défavorable,19:42:00,08:18:00,0
2022-03-09,15,3,23,3,11,15,0,91,10,1024,11.5,15,8,0,113,113,113,0,3,11.3,météo correcte,19:44:00,08:16:00,3
2022-03-10,15,4,19,4,13,14,0,85,10,1024,3.25,15,7,1,113,113,113,0,4,11.3,météo correcte,19:46:00,08:14:00,5
2022-03-11,11,8,29,8,11,11,0,82,10,1016,68.125,11,8,5,116,122,122,0,3,7.2,météo défavorable,19:47:00,08:11:00,9
2022-03-12,12,7,18,7,11,11,0.1,95,10,1016,82,12,7,4,122,122,122,0,2,5.7,météo défavorable,19:49:00,08:09:00,7
2022-03-13,8,6,27,7,8,8,0.4,89,9,1018,69.875,8,6,3,116,122,176,0,2,5.7,météo très défavorable,19:51:00,08:07:00,7
2022-03-14,12,3,13,3,10,10,0,93,10,1028,45.875,12,5,0,113,122,113,0,3,8.7,météo très défavorable,19:52:00,08:05:00,5
2022-03-15,10,7,16,7,7,9,2.5,96,7.75,1027,100,10,8,4,266,296,122,0,2,5.8,météo défavorable,19:54:00,08:03:00,8
2022-03-16,18,7,17,7,16,17,0,94,9,1022,32.125,18,12,5,113,113,113,0,3,11.5,météo favorable,19:55:00,08:01:00,8
2022-03-17,14,6,27,8,11,12,0,85,10,1036,47.875,14,9,5,122,116,113,0,4,10.2,météo correcte,19:57:00,07:59:00,9
2022-03-18,15,3,30,3,13,13,0,73,10,1041,0.25,15,1,-1,113,113,113,0,3,11.6,météo correcte,19:59:00,07:56:00,4
2022-03-19,17,4,30,4,15,14,0,72,10,1041,1.5,17,5,0,113,113,113,0,4,11.6,météo correcte,20:00:00,07:54:00,5
2022-03-20,13,1,19,1,10,13,0,87,10,1029,38.625,13,7,-2,113,119,119,0,3,7.6,météo très défavorable,20:02:00,07:52:00,2
2022-03-21,17,4,17,7,12,14,0,89,10,1029,68.625,17,8,5,122,116,122,0,4,7.6,météo défavorable,20:03:00,07:50:00,6
2022-03-22,19,6,14,6,16,15,0,76,10,1030,6.5,19,6,4,113,113,113,0,4,11.6,météo favorable,20:05:00,07:48:00,8
2022-03-23,20,7,6,7,17,18,0,75,10,1031,0,20,7,6,113,113,113,0,4,11.6,météo favorable,20:06:00,07:46:00,8
2022-03-24,16,7,14,7,15,13,0,71,10,1031,8.375,16,4,5,113,113,113,0,4,11.6,météo correcte,20:08:00,07:43:00,8
2022-03-25,19,7,15,7,18,17,0,75,10,1030,1.375,19,8,5,113,113,113,0,4,11.6,météo favorable,20:10:00,07:41:00,7
2022-03-26,18,6,23,6,16,18,0,83,10,1032,7.25,18,9,3,113,113,113,0,4,11.6,météo favorable,20:11:00,07:39:00,7
2022-03-27,18,7,19,7,16,16,0,92,10,1032,20,18,9,4,113,116,116,0,4,11.6,météo favorable,20:13:00,07:37:00,7
2022-03-28,19,8,5,8,17,18,0,78,10,1029,20.875,19,7,7,113,113,113,0,4,11.6,météo favorable,20:14:00,07:35:00,8
2022-03-29,16,10,13,10,15,14,1.2,77,9,1017,100,16,9,9,122,176,353,0,3,6.4,météo défavorable,20:16:00,07:32:00,11
2022-03-30,12,5,23,5,9,10,2.4,88,8.75,1007,51.75,12,5,0,296,113,113,0,2,11.6,météo très défavorable,20:18:00,07:30:00,5
2022-03-31,5,2,26,4,4,2,6.4,98,7.25,1005,98.25,5,3,-2,122,317,230,0,1,6.5,météo très défavorable,20:19:00,07:28:00,5
2022-04-01,2,-1,35,-1,1,2,5.2,100,2.125,1013,97.75,2,1,-7,230,230,230,0.5,1,6.5,météo très défavorable,20:21:00,07:26:00,0
2022-04-02,4,0,30,0,2,3,0.3,96,5.5,1021,100,4,0,-7,230,227,122,0,1,6.5,météo très défavorable,20:22:00,07:24:00,0
2022-04-03,8,-2,15,-2,7,7,0,74,10,1026,41.25,8,0,-5,113,119,119,0,2,7.8,météo très défavorable,20:24:00,07:22:00,-1
