DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2021-01-01,3,0,9,0,2,2,3.1,97,6.25,1014,86.125,3,2,-3,116,332,317,2.2,1,3.2,météo très défavorable,17:00:00,08:49:00,0
2021-01-02,5,0,8,0,4,2,0,89,9.375,1016,39.625,5,3,-2,116,122,116,0,2,3.2,météo très défavorable,17:01:00,08:49:00,0
2021-01-03,3,0,13,2,3,2,0.2,96,5.625,1018,87.875,3,2,-2,143,143,368,0,1,3.2,météo très défavorable,17:03:00,08:49:00,2
2021-01-04,2,1,22,2,2,2,0.5,96,8.375,1016,100,2,2,-3,122,332,332,0.2,1,3.2,météo très défavorable,17:04:00,08:48:00,2
2021-01-05,2,-3,20,2,2,1,0.4,97,8.75,1018,99.875,2,1,-3,332,332,326,0.1,1,3.2,météo très défavorable,17:05:00,08:48:00,2
2021-01-06,2,0,13,1,2,1,0.4,95,8,1019,90.625,2,1,-3,326,119,371,0.3,1,3.2,météo très défavorable,17:06:00,08:48:00,1
2021-01-07,3,0,15,1,3,1,0.6,98,9,1018,78.625,3,1,-2,326,119,371,0.4,1,3.2,météo très défavorable,17:07:00,08:47:00,1
2021-01-08,3,-1,10,-1,2,2,0,92,9.375,1020,68.375,3,0,-4,122,116,119,0,1,6.9,météo très défavorable,17:09:00,08:47:00,-1
2021-01-09,4,-4,16,-1,3,1,0.1,95,9,1026,46.875,4,0,-4,122,116,116,0,2,8.6,météo très défavorable,17:10:00,08:47:00,0
2021-01-10,4,-1,7,-1,3,1,0,90,10,1027,8,4,0,-4,116,116,116,0,2,8.7,météo très défavorable,17:11:00,08:46:00,-1
2021-01-11,5,0,16,0,5,4,0.4,93,9,1025,66.625,5,4,-4,116,122,176,0,2,3.3,météo très défavorable,17:13:00,08:45:00,0
2021-01-12,8,3,35,8,8,7,15.5,96,5.25,1016,99.25,8,7,4,302,296,266,0,2,3.3,météo très défavorable,17:14:00,08:45:00,7
2021-01-13,8,2,15,3,5,8,10.6,97,8.125,1020,77.75,8,7,1,116,266,302,0,3,3.3,météo très défavorable,17:15:00,08:44:00,2
2021-01-14,8,3,11,7,7,7,28.3,97,7.25,1020,100,9,8,5,296,302,302,0,2,3.3,météo très défavorable,17:17:00,08:43:00,7
2021-01-15,2,-5,19,0,1,-1,1.2,90,8.25,1030,52.5,2,2,-5,176,116,116,0.1,1,6.9,météo très défavorable,17:18:00,08:43:00,2
2021-01-16,1,-6,22,-1,0,-2,8.9,94,8.625,1031,68,1,2,-5,116,122,302,0,2,3.3,météo très défavorable,17:20:00,08:42:00,-1
2021-01-17,5,-3,15,1,4,2,0,94,10,1026,58.75,5,3,-2,116,116,116,0,1,8.7,météo très défavorable,17:21:00,08:41:00,2
2021-01-18,5,-1,18,1,4,3,0,94,9,1028,55.875,5,3,-3,116,116,122,0,1,6.9,météo très défavorable,17:23:00,08:40:00,1
2021-01-19,10,3,33,6,9,9,5,91,7.625,1018,96.25,10,8,1,266,296,119,0,2,3.3,météo défavorable,17:24:00,08:39:00,5
2021-01-20,8,5,35,7,8,8,1.5,82,8.125,1005,91.875,8,5,2,122,296,116,0,2,3.3,météo très défavorable,17:26:00,08:38:00,8
2021-01-21,8,0,33,5,7,5,12.4,81,9.5,994,85.5,9,6,0,299,116,176,0,2,5.1,météo très défavorable,17:28:00,08:37:00,8
2021-01-22,7,2,18,3,5,5,0.3,92,9.875,995,77.625,7,4,-1,116,119,176,0,1,3.3,météo très défavorable,17:29:00,08:36:00,3
2021-01-23,5,0,17,2,4,3,0.7,92,10,999,73.5,5,2,-2,176,122,362,0,2,3.4,météo très défavorable,17:31:00,08:35:00,2
2021-01-24,3,-2,21,-1,2,2,0.2,85,9.375,1002,44.375,3,0,-5,113,116,326,0,2,6.9,météo très défavorable,17:33:00,08:34:00,-1
2021-01-25,4,-3,22,2,3,2,4.5,91,8.75,1013,70.5,4,1,-3,368,329,116,3.2,1,5.2,météo très défavorable,17:34:00,08:33:00,2
2021-01-26,4,-3,19,0,3,2,2,89,7.75,1021,64.25,4,1,-4,116,362,266,0,2,3.4,météo très défavorable,17:36:00,08:32:00,0
2021-01-27,8,2,15,2,7,7,5.5,98,5,1018,100,8,7,-2,296,266,266,0,2,3.4,météo très défavorable,17:37:00,08:30:00,2
2021-01-28,12,6,36,10,12,11,14.9,95,7,1013,96.625,12,10,7,302,389,119,0,3,3.4,météo défavorable,17:39:00,08:29:00,8
2021-01-29,11,7,41,9,9,8,16.3,89,8.5,1005,95.625,11,9,4,302,353,296,0,2,3.4,météo très défavorable,17:41:00,08:28:00,11
2021-01-30,7,2,17,6,7,3,21.2,96,7.5,1004,100,8,6,2,266,302,296,0,2,3.4,météo très défavorable,17:43:00,08:26:00,7
2021-01-31,4,-4,20,1,2,0,2.5,89,9.25,1003,99.625,4,3,-4,122,122,122,0,1,3.4,météo très défavorable,17:44:00,08:25:00,3
2021-02-01,7,4,11,6,6,6,0.4,97,5.375,1004,96,7,6,4,248,143,122,0,2,3.5,météo très défavorable,17:46:00,08:24:00,6
2021-02-02,14,3,27,7,13,11,3.7,95,8.25,1005,84.25,14,10,4,176,296,176,0,3,3.5,météo défavorable,17:48:00,08:22:00,5
2021-02-03,11,6,34,9,11,7,11.3,96,9.125,1008,81.875,11,9,5,116,302,176,0,2,3.5,météo défavorable,17:49:00,08:21:00,8
2021-02-04,9,4,16,5,8,7,0.1,93,10,1012,59.75,9,7,2,116,119,176,0,3,3.5,météo très défavorable,17:51:00,08:19:00,4
2021-02-05,9,5,11,5,8,7,0,96,6,1012,77.125,9,6,3,143,143,122,0,2,3.5,météo très défavorable,17:53:00,08:18:00,6
2021-02-06,8,0,27,7,7,5,8.2,96,7.5,1010,95,8,8,3,143,296,296,0,2,3.5,météo très défavorable,17:54:00,08:16:00,7
2021-02-07,6,-1,13,4,3,1,6.9,95,8.125,997,98.375,6,5,-1,296,266,326,0,1,3.5,météo très défavorable,17:56:00,08:14:00,4
2021-02-08,-1,-4,17,-2,-1,-2,0.2,92,8.625,1001,96.875,0,0,-7,326,332,122,0.2,1,3.5,météo très défavorable,17:58:00,08:13:00,-1
2021-02-09,-2,-6,24,-6,-3,-3,0,82,10,1006,74.5,0,0,-12,122,116,116,0,1,7,météo très défavorable,17:59:00,08:11:00,-6
2021-02-10,-1,-6,29,-6,-3,-3,0,62,10,1021,37.375,0,0,-15,122,116,113,0,1,9.9,météo très défavorable,18:01:00,08:10:00,-6
2021-02-11,1,-6,23,-6,-1,-1,0,88,10,1028,25.75,1,0,-12,116,116,116,0,2,10,météo très défavorable,18:03:00,08:08:00,-6
2021-02-12,0,-4,30,-3,0,-3,0,50,10,1030,24.5,0,0,-10,116,116,116,0,2,10,météo très défavorable,18:04:00,08:06:00,-3
2021-02-13,1,-6,29,-6,-1,-1,0,58,10,1036,18.5,1,0,-13,113,116,119,0,2,10,météo très défavorable,18:06:00,08:04:00,-5
2021-02-14,2,-4,27,-4,1,0,0,55,10,1035,57.875,2,0,-10,116,122,116,0,2,5,météo très défavorable,18:08:00,08:03:00,-4
2021-02-15,5,0,24,2,4,4,2.7,88,6.25,1028,84.125,5,3,-4,119,266,266,0,2,5,météo très défavorable,18:10:00,08:01:00,1
2021-02-16,9,3,28,3,7,7,5,91,9.125,1023,81.125,9,7,-2,116,122,296,0,2,5.3,météo très défavorable,18:11:00,07:59:00,4
2021-02-17,11,5,27,7,10,9,0,92,10,1018,79.25,11,7,3,119,122,119,0,3,5.3,météo défavorable,18:13:00,07:57:00,5
2021-02-18,11,5,33,7,11,8,3.8,86,8.75,1014,79.25,11,8,3,122,296,296,0,3,5.3,météo défavorable,18:15:00,07:55:00,6
2021-02-19,11,2,23,2,8,10,0,93,10,1015,43.375,11,7,-1,116,116,122,0,3,8.5,météo très défavorable,18:16:00,07:54:00,3
2021-02-20,15,8,30,9,13,13,0,90,10,1012,18.875,15,8,5,116,116,116,0,4,10.7,météo correcte,18:18:00,07:52:00,9
2021-02-21,14,7,19,7,12,11,0,83,10,1012,35.125,14,7,5,116,119,116,0,4,10,météo correcte,18:20:00,07:50:00,9
2021-02-22,12,8,22,8,12,12,0,70,10,1021,46.5,12,8,5,116,116,119,0,4,6.9,météo défavorable,18:21:00,07:48:00,8
2021-02-23,13,9,26,9,12,11,0,84,10,1030,36.375,13,9,7,116,122,116,0,4,8.5,météo correcte,18:23:00,07:46:00,9
2021-02-24,17,9,26,9,15,14,0,93,10,1030,8.5,17,9,7,116,116,116,0,4,10.8,météo correcte,18:25:00,07:44:00,10
2021-02-25,14,9,10,9,13,11,0,93,10,1030,53.375,14,10,7,116,116,122,0,4,7,météo correcte,18:26:00,07:42:00,10
2021-02-26,10,4,20,7,9,7,3,88,9.75,1037,67,10,7,4,296,119,116,0,2,8.5,météo défavorable,18:28:00,07:40:00,8
2021-02-27,10,2,15,2,8,7,0,85,10,1039,5,10,2,-1,116,116,116,0,3,10.9,météo très défavorable,18:30:00,07:38:00,2
2021-02-28,12,3,20,3,10,9,0,92,10,1038,1.875,12,5,-1,116,113,113,0,3,11,météo très défavorable,18:31:00,07:36:00,3
2021-03-01,11,2,17,2,9,9,0,81,10,1032,0.25,11,2,-2,113,113,113,0,3,11,météo très défavorable,18:33:00,07:34:00,3
2021-03-02,14,2,8,2,10,12,0,91,10,1029,16.75,14,7,0,116,116,116,0,3,11,météo correcte,18:35:00,07:32:00,3
2021-03-03,15,6,11,6,13,13,1.5,82,9.875,1029,33.25,15,8,6,116,116,116,0,4,11.1,météo correcte,18:36:00,07:30:00,7
2021-03-04,10,5,20,6,10,6,2.2,95,7.875,1025,83.25,10,7,4,116,266,122,0,2,5.6,météo défavorable,18:38:00,07:28:00,6
2021-03-05,6,1,22,2,5,3,0,74,10,1032,37.875,6,1,-3,119,116,113,0,1,11.1,météo très défavorable,18:40:00,07:26:00,3
2021-03-06,7,-1,20,-1,6,6,0,68,10,1033,0,7,0,-6,113,113,113,0,2,11.2,météo très défavorable,18:41:00,07:24:00,-1
2021-03-07,7,-2,12,-2,6,5,0,79,10,1030,0,8,0,-5,113,113,113,0,2,11.2,météo très défavorable,18:43:00,07:22:00,-1
2021-03-08,8,-1,8,-1,6,5,0,88,10,1025,36.875,8,0,-3,116,116,122,0,2,8.6,météo très défavorable,18:45:00,07:19:00,-1
2021-03-09,9,0,10,0,9,6,0.5,88,9.75,1023,68.25,9,4,-3,119,116,176,0,2,7.1,météo très défavorable,18:46:00,07:17:00,0
2021-03-10,9,2,27,2,8,7,1.4,92,9,1021,73.25,9,5,-2,116,122,122,0,3,5.7,météo très défavorable,18:48:00,07:15:00,2
2021-03-11,11,6,42,11,11,8,1.9,87,6.5,1009,79.125,11,9,7,266,266,176,0,3,8.6,météo défavorable,18:50:00,07:13:00,11
2021-03-12,9,3,37,3,9,8,1.5,85,9,1011,69.375,9,4,-1,116,119,353,0,2,7.2,météo très défavorable,18:51:00,07:11:00,4
2021-03-13,9,4,46,7,9,6,1.6,85,9.875,1006,81.875,9,5,2,176,176,353,0,2,7.2,météo défavorable,18:53:00,07:09:00,7
2021-03-14,9,3,31,3,9,7,1.4,88,7.75,1018,77.5,9,3,-2,266,353,353,0,2,7.2,météo très défavorable,18:54:00,07:06:00,3
2021-03-15,9,5,31,7,9,7,4.6,87,8.625,1023,89.375,9,6,3,266,353,176,0,2,5.8,météo défavorable,18:56:00,07:04:00,8
2021-03-16,9,3,13,3,9,7,0.2,89,10,1030,69.125,9,5,0,116,116,176,0,3,7.2,météo très défavorable,18:58:00,07:02:00,3
2021-03-17,8,3,28,5,8,6,1.5,85,9,1031,86.875,8,5,0,122,176,353,0,2,5.8,météo très défavorable,18:59:00,07:00:00,4
2021-03-18,8,2,22,2,7,6,2.4,96,8,1031,86.25,8,6,-2,119,176,353,0,3,6.2,météo très défavorable,19:01:00,06:58:00,2
2021-03-19,7,2,29,2,6,5,0.5,94,9,1029,37.75,7,3,-2,176,116,113,0,1,11.6,météo très défavorable,19:02:00,06:56:00,4
2021-03-20,9,-1,16,-1,8,7,0,86,9.375,1031,33.5,9,3,-4,113,116,122,0,3,8.9,météo très défavorable,19:04:00,06:53:00,0
2021-03-21,11,4,23,6,10,9,0,91,9.625,1029,71,11,6,4,122,119,116,0,2,10.3,météo défavorable,19:06:00,06:51:00,5
2021-03-22,10,1,10,1,8,10,0,96,8,1027,41.5,12,3,-2,143,122,116,0,3,8.9,météo très défavorable,19:07:00,06:49:00,1
2021-03-23,12,2,10,2,10,10,0,92,10,1026,17.5,12,5,1,116,116,116,0,3,11.6,météo très défavorable,19:09:00,06:47:00,3
2021-03-24,14,4,15,4,12,11,0,92,10,1024,28.625,14,6,1,116,116,116,0,3,10.3,météo correcte,19:10:00,06:45:00,4
2021-03-25,12,6,14,6,11,10,0.2,92,9,1020,55.75,12,6,4,116,116,353,0,2,10.3,météo défavorable,19:12:00,06:42:00,7
2021-03-26,10,5,36,5,10,7,2.9,92,9.75,1019,53.875,10,6,1,116,116,296,0,3,7.7,météo très défavorable,19:14:00,06:40:00,6
2021-03-27,12,3,21,3,10,9,0.3,88,10,1027,64.125,12,4,-2,119,116,176,0,3,7.7,météo très défavorable,19:15:00,06:38:00,3
2021-03-28,16,4,21,4,14,15,0,85,10,1024,55.875,16,9,1,116,116,116,0,4,9,météo correcte,19:17:00,06:36:00,4
2021-03-29,18,5,15,5,16,16,0,91,10,1031,4.125,18,7,2,116,113,116,0,4,11.6,météo favorable,19:18:00,06:34:00,5
2021-03-30,20,8,13,8,18,18,0,81,10,1032,9.5,20,10,7,116,113,113,0,5,11.6,météo favorable,19:20:00,06:31:00,8
2021-03-31,22,10,10,10,19,20,0,86,10,1026,4.125,23,10,10,116,116,116,0,5,11.6,météo favorable,19:22:00,06:29:00,12
2021-04-01,20,12,20,12,19,17,0,70,10,1024,8.875,20,12,12,116,116,116,0,5,11.6,météo favorable,19:23:00,06:27:00,13
2021-04-02,12,3,26,3,10,10,0,84,10,1027,2.75,12,3,-1,116,116,113,0,3,11.6,météo très défavorable,19:25:00,06:25:00,5
2021-04-03,11,3,24,3,9,9,0,93,10,1029,26.625,11,3,-1,116,116,113,0,2,11.6,météo très défavorable,19:26:00,06:23:00,3
2021-04-04,13,1,12,1,10,11,0,96,8,1029,12.375,13,4,-2,143,116,116,0,3,11.6,météo très défavorable,19:28:00,06:21:00,1
2021-04-05,7,0,34,6,7,3,1.7,91,8.375,1018,71.5,7,5,-1,116,353,230,0.1,3,6.6,météo très défavorable,19:29:00,06:19:00,4
2021-04-06,5,-2,27,-2,5,3,0,70,10,1022,40.125,5,0,-6,116,368,122,0,2,10.3,météo très défavorable,19:31:00,06:16:00,-2
2021-04-07,6,-3,26,-3,6,4,0,67,10,1028,14.25,6,0,-7,116,116,116,0,2,11.6,météo très défavorable,19:33:00,06:14:00,-3
2021-04-08,11,1,17,1,10,9,0.2,94,9,1025,63.625,11,2,-3,143,119,116,0,2,7.9,météo très défavorable,19:34:00,06:12:00,1
2021-04-09,13,3,15,3,11,10,2.8,72,9.75,1019,63.5,13,7,1,116,122,122,0,3,6.6,météo correcte,19:36:00,06:10:00,3
2021-04-10,7,4,14,6,6,5,16.1,96,6.25,1012,100,7,6,3,296,302,296,0,2,6.6,météo très défavorable,19:37:00,06:08:00,6
2021-04-11,5,1,24,2,2,4,6.5,97,7.5,1020,94.25,5,4,-4,266,317,362,0.4,1,6.7,météo très défavorable,19:39:00,06:06:00,3
2021-04-12,8,-1,20,-1,7,5,0.1,86,10,1031,31,8,0,-4,116,116,176,0,2,10.4,météo très défavorable,19:40:00,06:04:00,-1
2021-04-13,9,0,12,0,8,7,0.3,90,8.75,1034,31.75,9,2,-3,143,113,116,0,2,11.6,météo très défavorable,19:42:00,06:02:00,1
2021-04-14,10,0,15,0,9,7,0,75,10,1033,39,10,0,-2,116,116,116,0,3,12.1,météo très défavorable,19:43:00,06:00:00,0
2021-04-15,8,-1,17,-1,7,6,1.9,91,9.875,1032,47.75,8,1,-4,116,116,353,0,2,11,météo très défavorable,19:45:00,05:58:00,-1
2021-04-16,10,0,22,0,9,9,0,85,10,1029,41.875,10,2,-4,116,116,119,0,3,11,météo très défavorable,19:47:00,05:56:00,0
2021-04-17,12,1,18,1,10,10,0,91,8,1028,15.25,12,3,-2,143,116,116,0,2,13.9,météo très défavorable,19:48:00,05:54:00,1
2021-04-18,11,1,10,2,10,9,0.5,91,10,1025,57.75,11,5,-1,116,116,176,0,3,11,météo très défavorable,19:50:00,05:52:00,1
2021-04-19,13,5,8,5,12,12,1.8,77,9.875,1023,80.125,13,6,4,122,116,353,0,2,11.1,météo très défavorable,19:51:00,05:50:00,6
2021-04-20,14,7,7,7,13,12,0.6,89,9.875,1019,83.125,14,6,7,119,176,176,0,3,8.8,météo défavorable,19:53:00,05:48:00,7
2021-04-21,14,8,21,8,13,11,0.6,84,10,1022,51.25,14,7,6,119,116,353,0,3,13.4,météo correcte,19:54:00,05:46:00,8
2021-04-22,12,2,20,2,10,10,0,79,10,1026,6.125,12,3,-2,116,116,116,0,3,14.1,météo très défavorable,19:56:00,05:44:00,2
2021-04-23,14,2,20,2,12,12,0,89,10,1030,0.25,14,4,-2,113,113,113,0,3,14.2,météo correcte,19:57:00,05:42:00,2
2021-04-24,16,4,23,4,14,13,0,79,10,1027,24.875,16,5,0,113,116,113,0,4,14.2,météo correcte,19:59:00,05:40:00,4
2021-04-25,13,4,25,4,11,11,0,83,10,1026,22,13,3,-1,116,116,116,0,2,14.5,météo correcte,20:00:00,05:39:00,4
2021-04-26,14,3,25,3,12,12,0,84,10,1023,12.25,14,4,-2,116,116,116,0,3,14.5,météo correcte,20:02:00,05:37:00,3
2021-04-27,15,3,12,3,13,13,0,80,10,1014,28.375,15,5,0,122,116,116,0,4,14.5,météo correcte,20:03:00,05:35:00,3
2021-04-28,16,3,6,4,14,13,0,73,10,1008,23.125,16,5,2,116,116,116,0,4,14.5,météo correcte,20:05:00,05:33:00,3
2021-04-29,10,4,17,5,10,9,0.1,91,9.625,1014,81.625,10,4,2,122,176,122,0,2,9.2,météo très défavorable,20:06:00,05:31:00,4
2021-04-30,11,3,5,4,11,10,0.2,82,10,1015,42.125,11,4,3,116,116,353,0,2,12.4,météo très défavorable,20:08:00,05:29:00,3
2021-05-01,13,3,12,4,12,11,0.4,86,9.875,1015,49.125,13,4,2,116,116,176,0,2,12.4,météo correcte,20:09:00,05:28:00,3
2021-05-02,12,1,14,3,12,10,1.6,89,9.75,1022,28.875,12,4,1,116,116,176,0,3,12.4,météo très défavorable,20:11:00,05:26:00,1
2021-05-03,13,2,23,3,12,13,0.3,77,10,1023,58.75,13,5,1,116,116,176,0,3,11.4,météo correcte,20:12:00,05:24:00,2
2021-05-04,12,6,41,9,11,10,1,81,9,1007,65.5,12,6,4,266,353,116,0,3,11.4,météo défavorable,20:14:00,05:22:00,8
2021-05-05,10,3,28,4,10,9,1.4,91,9.875,1014,50.875,10,3,1,116,176,176,0,3,10.4,météo très défavorable,20:15:00,05:21:00,3
2021-05-06,9,3,15,4,9,8,1.5,85,8.75,1011,83,9,6,1,116,122,296,0,3,10.4,météo très défavorable,20:17:00,05:19:00,3
2021-05-07,12,3,14,4,11,11,0.1,90,9,1016,19.75,12,3,2,116,116,116,0,2,14.5,météo très défavorable,20:18:00,05:17:00,3
2021-05-08,17,3,28,6,9,17,2,91,9,1018,61,18,13,2,116,266,176,0,4,10.4,météo correcte,20:20:00,05:16:00,3
2021-05-09,20,12,31,14,20,17,5.2,91,9,1005,72.5,22,15,12,386,353,353,0,5,9.4,météo défavorable,20:21:00,05:14:00,12
2021-05-10,16,11,27,11,15,14,2.1,92,9.75,1008,77.25,16,13,9,353,122,353,0,3,10.5,météo défavorable,20:23:00,05:13:00,13
2021-05-11,16,7,16,9,16,14,3.5,89,9.875,1011,54.875,16,11,8,116,176,353,0,4,10.5,météo correcte,20:24:00,05:11:00,7
2021-05-12,15,5,13,7,14,14,0.2,92,9,1013,48.25,15,9,5,143,119,176,0,3,13.5,météo correcte,20:26:00,05:10:00,6
2021-05-13,13,8,10,9,13,13,5.4,94,8.75,1011,67.875,13,10,7,122,296,353,0,4,10.5,météo défavorable,20:27:00,05:08:00,8
2021-05-14,13,6,17,7,12,13,2.1,92,10,1010,63.25,13,10,5,116,122,353,0,3,11.5,météo correcte,20:28:00,05:07:00,6
2021-05-15,13,7,22,8,11,12,3.4,94,5.875,1008,77,13,10,5,143,266,176,0,3,10.5,météo défavorable,20:30:00,05:05:00,7
2021-05-16,14,8,28,9,14,12,4.6,89,10,1005,75,14,9,6,353,353,353,0,4,9.5,météo défavorable,20:31:00,05:04:00,8
2021-05-17,14,9,28,10,13,13,7.4,92,8.625,1009,92.125,14,11,6,266,353,356,0,3,9.6,météo défavorable,20:33:00,05:03:00,9
2021-05-18,14,9,29,9,14,13,3.3,94,9.875,1020,60.5,14,9,7,353,353,116,0,3,11.5,météo correcte,20:34:00,05:01:00,9
2021-05-19,11,8,17,8,11,10,7.8,97,7.625,1022,94.875,13,10,6,266,296,353,0,3,9.6,météo défavorable,20:35:00,05:00:00,8
2021-05-20,16,6,15,8,15,15,0.5,94,8.75,1025,57.375,16,9,6,143,116,122,0,3,12.6,météo correcte,20:37:00,04:59:00,6
